common_name,Species ID
Philadelphia Vireo,ACAD-1366
BlueHeaded Solitary Vireo,ACAD-1367
BlueHeaded Vireo,ACAD-1367
Solitary Vireo,ACAD-1367
American Egret,ACAD-1368
Common Egret?,ACAD-1368
Great Egret,ACAD-1368
Great Blue Heron,ACAD-1369
Northern Great Blue Heron,ACAD-1369
American Bittern,ACAD-1370
Cattle Egret,ACAD-1371
Eastern Green Heron,ACAD-1372
Green Heron,ACAD-1372
GreenBacked Heron,ACAD-1372
Little Blue Heron,ACAD-1373
Northern Little Blue Heron,ACAD-1373
Snowy Egret,ACAD-1374
Tricolored Heron,ACAD-1375
Least Bittern,ACAD-1376
Eastern Least Bittern,ACAD-1376
YellowCrowned Night Heron,ACAD-1377
YellowCrowned NightHeron,ACAD-1377
BlackCrowned Night Heron,ACAD-1378
BlackCrowned NightHeron,ACAD-1378
American White Pelican,ACAD-1380
White Pelican,ACAD-1380
Brown Pelican,ACAD-1381
Eastern Glossy Ibis,ACAD-1382
Glossy Ibis,ACAD-1382
Common Flicker,ACAD-1383
Flicker,ACAD-1383
GoldenWinged Flicker,ACAD-1383
Northern Flicker,ACAD-1383
Northern YellowShafted Flicker,ACAD-1383
YellowShafted Flicker,ACAD-1383
Northern Pileated Woodpecker,ACAD-1384
Pileated Woodpecker,ACAD-1384
Eastern RedBellied Woodpecker,ACAD-1385
RedBellied Woodpecker,ACAD-1385
Eastern RedHeaded Woodpecker,ACAD-1386
RedHeaded Woodpecker,ACAD-1386
Arctic ThreeToed Woodpecker,ACAD-1387
BlackBacked ThreeToed Woodpecker,ACAD-1387
BlackBacked Woodpecker,ACAD-1387
Downy Woodpecker,ACAD-1388
Northern Downy Woodpecker,ACAD-1388
American ThreeToed Woodpecker,ACAD-1389
Northern ThreeToed Woodpecker,ACAD-1389
ThreeToed Woodpecker,ACAD-1389
Eastern Hairy Woodpecker,ACAD-1390
Hairy Woodpecker,ACAD-1390
YellowBellied Sapsucker,ACAD-1391
Horned Grebe,ACAD-1392
Holboells Grebe,ACAD-1393
Holboells RedNecked Grebe,ACAD-1393
RedNecked Grebe,ACAD-1393
Eared Grebe,ACAD-1394
PiedBilled Grebe,ACAD-1395
YellowNosed Albatross,ACAD-1396
Atlantic Wilsons Petrel,ACAD-1397
Wilsons Petrel,ACAD-1397
Wilsons StormPetrel,ACAD-1397
Leachs Petrel,ACAD-1398
Leachs StormPetrel,ACAD-1398
Northern Leachs Petrel,ACAD-1398
Corys Cinereous Shearwater,ACAD-1399
Corys Shearwater,ACAD-1399
North Atlantic Shearwater,ACAD-1399
Atlantic Fulmar,ACAD-1400
Northern Fulmar,ACAD-1400
Greater Shearwater,ACAD-1401
Sooty Shearwater,ACAD-1402
Manx Common Shearwater,ACAD-1403
Manx Shearwater,ACAD-1403
Northern SawWhet Owl,ACAD-1404
American Tengmalms Owl,ACAD-1405
Boreal Owl,ACAD-1405
Richardsons Owl,ACAD-1405
Tengmalms Owl,ACAD-1405
Northern ShortEared Owl,ACAD-1406
ShortEared Owl,ACAD-1406
American LongEared Owl,ACAD-1407
LongEared Owl,ACAD-1407
Eastern Horned Owl,ACAD-1408
Great Horned Owl,ACAD-1408
Snowy Owl,ACAD-1409
Eastern ScreechOwl,ACAD-1410
Screech Owl,ACAD-1410
American Great Gray Owl,ACAD-1411
Great Gray Owl,ACAD-1411
Barred Owl,ACAD-1412
Northern Barred Owl,ACAD-1412
American Hawk Owl,ACAD-1413
Hawk Owl,ACAD-1413
Northern Hawk Owl,ACAD-1413
